REGION,TECHNOLOGY,YEAR,VALUE
R2,PWRCCGNPLXX00,2020,0
R2,PWRCCGNPLXX00,2021,0
R2,PWRCCGNPLXX00,2022,0
R2,PWRCCGNPLXX00,2023,0
R2,PWRCCGNPLXX00,2024,0
R2,PWRCCGNPLXX00,2025,0
R2,PWRCCGNPLXX00,2026,0
R2,PWRCCGNPLXX00,2027,0
R2,PWRCCGNPLXX00,2028,0
R2,PWRCCGNPLXX00,2029,0
R2,PWRCCGNPLXX00,2030,0
R2,PWRCCGNPLXX00,2031,0
R2,PWRCCGNPLXX00,2032,0
R2,PWRCCGNPLXX00,2033,0
R2,PWRCCGNPLXX00,2034,0
R2,PWRCCGNPLXX00,2035,0
R2,PWRCCGNPLXX00,2036,0
R2,PWRCCGNPLXX00,2037,0
R2,PWRCCGNPLXX00,2038,0
R2,PWRCCGNPLXX00,2039,0
R2,PWRCCGNPLXX00,2040,0
R2,PWRCCGNPLXX00,2041,0
R2,PWRCCGNPLXX00,2042,0
R2,PWRCCGNPLXX00,2043,0
R2,PWRCCGNPLXX00,2044,0
R2,PWRCCGNPLXX00,2045,0
R2,PWRCCGNPLXX00,2046,0
R2,PWRCCGNPLXX00,2047,0
R2,PWRCCGNPLXX00,2048,0
R2,PWRCCGNPLXX00,2049,0
R2,PWRCCGNPLXX00,2050,0
R2,PWRCCGNPLXX00,2051,0
R2,PWRCCGNPLXX00,2052,0
R2,PWRCCGNPLXX00,2053,0
R2,PWRCCGNPLXX00,2054,0
R2,PWRCCGNPLXX00,2055,0
R2,PWRCCGNPLXX00,2056,0
R2,PWRCCGNPLXX00,2057,0
R2,PWRCCGNPLXX00,2058,0
R2,PWRCCGNPLXX00,2059,0
R2,PWRCCGNPLXX00,2060,0
R2,PWRCCGNPLXX00,2061,0
R2,PWRCCGNPLXX00,2062,0
R2,PWRCCGNPLXX00,2063,0
R2,PWRCCGNPLXX00,2064,0
R2,PWRCCGNPLXX00,2065,0
R2,PWRCCGNPLXX00,2066,0
R2,PWRCCGNPLXX00,2067,0
R2,PWRCCGNPLXX00,2068,0
R2,PWRCCGNPLXX00,2069,0
R2,PWRCCGNPLXX00,2070,0
R2,PWROCGNPLXX00,2020,0
R2,PWROCGNPLXX00,2021,0
R2,PWROCGNPLXX00,2022,0
R2,PWROCGNPLXX00,2023,0
R2,PWROCGNPLXX00,2024,0
R2,PWROCGNPLXX00,2025,0
R2,PWROCGNPLXX00,2026,0
R2,PWROCGNPLXX00,2027,0
R2,PWROCGNPLXX00,2028,0
R2,PWROCGNPLXX00,2029,0
R2,PWROCGNPLXX00,2030,0
R2,PWROCGNPLXX00,2031,0
R2,PWROCGNPLXX00,2032,0
R2,PWROCGNPLXX00,2033,0
R2,PWROCGNPLXX00,2034,0
R2,PWROCGNPLXX00,2035,0
R2,PWROCGNPLXX00,2036,0
R2,PWROCGNPLXX00,2037,0
R2,PWROCGNPLXX00,2038,0
R2,PWROCGNPLXX00,2039,0
R2,PWROCGNPLXX00,2040,0
R2,PWROCGNPLXX00,2041,0
R2,PWROCGNPLXX00,2042,0
R2,PWROCGNPLXX00,2043,0
R2,PWROCGNPLXX00,2044,0
R2,PWROCGNPLXX00,2045,0
R2,PWROCGNPLXX00,2046,0
R2,PWROCGNPLXX00,2047,0
R2,PWROCGNPLXX00,2048,0
R2,PWROCGNPLXX00,2049,0
R2,PWROCGNPLXX00,2050,0
R2,PWROCGNPLXX00,2051,0
R2,PWROCGNPLXX00,2052,0
R2,PWROCGNPLXX00,2053,0
R2,PWROCGNPLXX00,2054,0
R2,PWROCGNPLXX00,2055,0
R2,PWROCGNPLXX00,2056,0
R2,PWROCGNPLXX00,2057,0
R2,PWROCGNPLXX00,2058,0
R2,PWROCGNPLXX00,2059,0
R2,PWROCGNPLXX00,2060,0
R2,PWROCGNPLXX00,2061,0
R2,PWROCGNPLXX00,2062,0
R2,PWROCGNPLXX00,2063,0
R2,PWROCGNPLXX00,2064,0
R2,PWROCGNPLXX00,2065,0
R2,PWROCGNPLXX00,2066,0
R2,PWROCGNPLXX00,2067,0
R2,PWROCGNPLXX00,2068,0
R2,PWROCGNPLXX00,2069,0
R2,PWROCGNPLXX00,2070,0
R2,PWRWAVNPLXX01,2020,0
R2,PWRWAVNPLXX01,2021,0
R2,PWRWAVNPLXX01,2022,0
R2,PWRWAVNPLXX01,2023,0
R2,PWRWAVNPLXX01,2024,0
R2,PWRWAVNPLXX01,2025,0
R2,PWRWAVNPLXX01,2026,0
R2,PWRWAVNPLXX01,2027,0
R2,PWRWAVNPLXX01,2028,0
R2,PWRWAVNPLXX01,2029,0
R2,PWRWAVNPLXX01,2030,0
R2,PWRWAVNPLXX01,2031,0
R2,PWRWAVNPLXX01,2032,0
R2,PWRWAVNPLXX01,2033,0
R2,PWRWAVNPLXX01,2034,0
R2,PWRWAVNPLXX01,2035,0
R2,PWRWAVNPLXX01,2036,0
R2,PWRWAVNPLXX01,2037,0
R2,PWRWAVNPLXX01,2038,0
R2,PWRWAVNPLXX01,2039,0
R2,PWRWAVNPLXX01,2040,0
R2,PWRWAVNPLXX01,2041,0
R2,PWRWAVNPLXX01,2042,0
R2,PWRWAVNPLXX01,2043,0
R2,PWRWAVNPLXX01,2044,0
R2,PWRWAVNPLXX01,2045,0
R2,PWRWAVNPLXX01,2046,0
R2,PWRWAVNPLXX01,2047,0
R2,PWRWAVNPLXX01,2048,0
R2,PWRWAVNPLXX01,2049,0
R2,PWRWAVNPLXX01,2050,0
R2,PWRWAVNPLXX01,2051,0
R2,PWRWAVNPLXX01,2052,0
R2,PWRWAVNPLXX01,2053,0
R2,PWRWAVNPLXX01,2054,0
R2,PWRWAVNPLXX01,2055,0
R2,PWRWAVNPLXX01,2056,0
R2,PWRWAVNPLXX01,2057,0
R2,PWRWAVNPLXX01,2058,0
R2,PWRWAVNPLXX01,2059,0
R2,PWRWAVNPLXX01,2060,0
R2,PWRWAVNPLXX01,2061,0
R2,PWRWAVNPLXX01,2062,0
R2,PWRWAVNPLXX01,2063,0
R2,PWRWAVNPLXX01,2064,0
R2,PWRWAVNPLXX01,2065,0
R2,PWRWAVNPLXX01,2066,0
R2,PWRWAVNPLXX01,2067,0
R2,PWRWAVNPLXX01,2068,0
R2,PWRWAVNPLXX01,2069,0
R2,PWRWAVNPLXX01,2070,0
R2,PWRGEONPLXX01,2020,0
R2,PWRGEONPLXX01,2021,0
R2,PWRGEONPLXX01,2022,0
R2,PWRGEONPLXX01,2023,0
R2,PWRGEONPLXX01,2024,0
R2,PWRGEONPLXX01,2025,0
R2,PWRGEONPLXX01,2026,0
R2,PWRGEONPLXX01,2027,0
R2,PWRGEONPLXX01,2028,0
R2,PWRGEONPLXX01,2029,0
R2,PWRGEONPLXX01,2030,0
R2,PWRGEONPLXX01,2031,0
R2,PWRGEONPLXX01,2032,0
R2,PWRGEONPLXX01,2033,0
R2,PWRGEONPLXX01,2034,0
R2,PWRGEONPLXX01,2035,0
R2,PWRGEONPLXX01,2036,0
R2,PWRGEONPLXX01,2037,0
R2,PWRGEONPLXX01,2038,0
R2,PWRGEONPLXX01,2039,0
R2,PWRGEONPLXX01,2040,0
R2,PWRGEONPLXX01,2041,0
R2,PWRGEONPLXX01,2042,0
R2,PWRGEONPLXX01,2043,0
R2,PWRGEONPLXX01,2044,0
R2,PWRGEONPLXX01,2045,0
R2,PWRGEONPLXX01,2046,0
R2,PWRGEONPLXX01,2047,0
R2,PWRGEONPLXX01,2048,0
R2,PWRGEONPLXX01,2049,0
R2,PWRGEONPLXX01,2050,0
R2,PWRGEONPLXX01,2051,0
R2,PWRGEONPLXX01,2052,0
R2,PWRGEONPLXX01,2053,0
R2,PWRGEONPLXX01,2054,0
R2,PWRGEONPLXX01,2055,0
R2,PWRGEONPLXX01,2056,0
R2,PWRGEONPLXX01,2057,0
R2,PWRGEONPLXX01,2058,0
R2,PWRGEONPLXX01,2059,0
R2,PWRGEONPLXX01,2060,0
R2,PWRGEONPLXX01,2061,0
R2,PWRGEONPLXX01,2062,0
R2,PWRGEONPLXX01,2063,0
R2,PWRGEONPLXX01,2064,0
R2,PWRGEONPLXX01,2065,0
R2,PWRGEONPLXX01,2066,0
R2,PWRGEONPLXX01,2067,0
R2,PWRGEONPLXX01,2068,0
R2,PWRGEONPLXX01,2069,0
R2,PWRGEONPLXX01,2070,0
R2,PWRBIONPLXX01,2020,0
R2,PWRBIONPLXX01,2021,0
R2,PWRBIONPLXX01,2022,0
R2,PWRBIONPLXX01,2023,0
R2,PWRBIONPLXX01,2024,0
R2,PWRBIONPLXX01,2025,0
R2,PWRBIONPLXX01,2026,0
R2,PWRBIONPLXX01,2027,0
R2,PWRBIONPLXX01,2028,0
R2,PWRBIONPLXX01,2029,0
R2,PWRBIONPLXX01,2030,0
R2,PWRBIONPLXX01,2031,0
R2,PWRBIONPLXX01,2032,0
R2,PWRBIONPLXX01,2033,0
R2,PWRBIONPLXX01,2034,0
R2,PWRBIONPLXX01,2035,0
R2,PWRBIONPLXX01,2036,0
R2,PWRBIONPLXX01,2037,0
R2,PWRBIONPLXX01,2038,0
R2,PWRBIONPLXX01,2039,0
R2,PWRBIONPLXX01,2040,0
R2,PWRBIONPLXX01,2041,0
R2,PWRBIONPLXX01,2042,0
R2,PWRBIONPLXX01,2043,0
R2,PWRBIONPLXX01,2044,0
R2,PWRBIONPLXX01,2045,0
R2,PWRBIONPLXX01,2046,0
R2,PWRBIONPLXX01,2047,0
R2,PWRBIONPLXX01,2048,0
R2,PWRBIONPLXX01,2049,0
R2,PWRBIONPLXX01,2050,0
R2,PWRBIONPLXX01,2051,0
R2,PWRBIONPLXX01,2052,0
R2,PWRBIONPLXX01,2053,0
R2,PWRBIONPLXX01,2054,0
R2,PWRBIONPLXX01,2055,0
R2,PWRBIONPLXX01,2056,0
R2,PWRBIONPLXX01,2057,0
R2,PWRBIONPLXX01,2058,0
R2,PWRBIONPLXX01,2059,0
R2,PWRBIONPLXX01,2060,0
R2,PWRBIONPLXX01,2061,0
R2,PWRBIONPLXX01,2062,0
R2,PWRBIONPLXX01,2063,0
R2,PWRBIONPLXX01,2064,0
R2,PWRBIONPLXX01,2065,0
R2,PWRBIONPLXX01,2066,0
R2,PWRBIONPLXX01,2067,0
R2,PWRBIONPLXX01,2068,0
R2,PWRBIONPLXX01,2069,0
R2,PWRBIONPLXX01,2070,0
R2,PWRCSPNPLXX01,2020,0
R2,PWRCSPNPLXX01,2021,0
R2,PWRCSPNPLXX01,2022,0
R2,PWRCSPNPLXX01,2023,0
R2,PWRCSPNPLXX01,2024,0
R2,PWRCSPNPLXX01,2025,0
R2,PWRCSPNPLXX01,2026,0
R2,PWRCSPNPLXX01,2027,0
R2,PWRCSPNPLXX01,2028,0
R2,PWRCSPNPLXX01,2029,0
R2,PWRCSPNPLXX01,2030,0
R2,PWRCSPNPLXX01,2031,0
R2,PWRCSPNPLXX01,2032,0
R2,PWRCSPNPLXX01,2033,0
R2,PWRCSPNPLXX01,2034,0
R2,PWRCSPNPLXX01,2035,0
R2,PWRCSPNPLXX01,2036,0
R2,PWRCSPNPLXX01,2037,0
R2,PWRCSPNPLXX01,2038,0
R2,PWRCSPNPLXX01,2039,0
R2,PWRCSPNPLXX01,2040,0
R2,PWRCSPNPLXX01,2041,0
R2,PWRCSPNPLXX01,2042,0
R2,PWRCSPNPLXX01,2043,0
R2,PWRCSPNPLXX01,2044,0
R2,PWRCSPNPLXX01,2045,0
R2,PWRCSPNPLXX01,2046,0
R2,PWRCSPNPLXX01,2047,0
R2,PWRCSPNPLXX01,2048,0
R2,PWRCSPNPLXX01,2049,0
R2,PWRCSPNPLXX01,2050,0
R2,PWRCSPNPLXX01,2051,0
R2,PWRCSPNPLXX01,2052,0
R2,PWRCSPNPLXX01,2053,0
R2,PWRCSPNPLXX01,2054,0
R2,PWRCSPNPLXX01,2055,0
R2,PWRCSPNPLXX01,2056,0
R2,PWRCSPNPLXX01,2057,0
R2,PWRCSPNPLXX01,2058,0
R2,PWRCSPNPLXX01,2059,0
R2,PWRCSPNPLXX01,2060,0
R2,PWRCSPNPLXX01,2061,0
R2,PWRCSPNPLXX01,2062,0
R2,PWRCSPNPLXX01,2063,0
R2,PWRCSPNPLXX01,2064,0
R2,PWRCSPNPLXX01,2065,0
R2,PWRCSPNPLXX01,2066,0
R2,PWRCSPNPLXX01,2067,0
R2,PWRCSPNPLXX01,2068,0
R2,PWRCSPNPLXX01,2069,0
R2,PWRCSPNPLXX01,2070,0
R2,PWROTHNPLXX01,2020,0
R2,PWROTHNPLXX01,2021,0
R2,PWROTHNPLXX01,2022,0
R2,PWROTHNPLXX01,2023,0
R2,PWROTHNPLXX01,2024,0
R2,PWROTHNPLXX01,2025,0
R2,PWROTHNPLXX01,2026,0
R2,PWROTHNPLXX01,2027,0
R2,PWROTHNPLXX01,2028,0
R2,PWROTHNPLXX01,2029,0
R2,PWROTHNPLXX01,2030,0
R2,PWROTHNPLXX01,2031,0
R2,PWROTHNPLXX01,2032,0
R2,PWROTHNPLXX01,2033,0
R2,PWROTHNPLXX01,2034,0
R2,PWROTHNPLXX01,2035,0
R2,PWROTHNPLXX01,2036,0
R2,PWROTHNPLXX01,2037,0
R2,PWROTHNPLXX01,2038,0
R2,PWROTHNPLXX01,2039,0
R2,PWROTHNPLXX01,2040,0
R2,PWROTHNPLXX01,2041,0
R2,PWROTHNPLXX01,2042,0
R2,PWROTHNPLXX01,2043,0
R2,PWROTHNPLXX01,2044,0
