REGION,TECHNOLOGY,YEAR,VALUE
R2,PWRHYDNPLXX01,2020,0.9
R2,PWRHYDNPLXX01,2021,0.9
R2,PWRHYDNPLXX01,2022,0.9
R2,PWRHYDNPLXX01,2023,0.9
R2,PWRHYDNPLXX01,2024,0.9
R2,PWRHYDNPLXX01,2025,0.9
R2,PWRHYDNPLXX01,2026,0.9
R2,PWRHYDNPLXX01,2027,0.9
R2,PWRHYDNPLXX01,2028,0.9
R2,PWRHYDNPLXX01,2029,0.9
R2,PWRHYDNPLXX01,2030,0.9
R2,PWRHYDNPLXX01,2031,0.9
R2,PWRHYDNPLXX01,2032,0.9
R2,PWRHYDNPLXX01,2033,0.9
R2,PWRHYDNPLXX01,2034,0.9
R2,PWRHYDNPLXX01,2035,0.9
R2,PWRHYDNPLXX01,2036,0.9
R2,PWRHYDNPLXX01,2037,0.9
R2,PWRHYDNPLXX01,2038,0.9
R2,PWRHYDNPLXX01,2039,0.9
R2,PWRHYDNPLXX01,2040,0.9
R2,PWRHYDNPLXX01,2041,0.9
R2,PWRHYDNPLXX01,2042,0.9
R2,PWRHYDNPLXX01,2043,0.9
R2,PWRHYDNPLXX01,2044,0.9
R2,PWRHYDNPLXX01,2045,0.9
R2,PWRHYDNPLXX01,2046,0.9
R2,PWRHYDNPLXX01,2047,0.9
R2,PWRHYDNPLXX01,2048,0.9
R2,PWRHYDNPLXX01,2049,0.9
R2,PWRHYDNPLXX01,2050,0.9
R2,PWRHYDNPLXX01,2051,0.9
R2,PWRHYDNPLXX01,2052,0.9
R2,PWRHYDNPLXX01,2053,0.9
R2,PWRHYDNPLXX01,2054,0.9
R2,PWRHYDNPLXX01,2055,0.9
R2,PWRHYDNPLXX01,2056,0.9
R2,PWRHYDNPLXX01,2057,0.9
R2,PWRHYDNPLXX01,2058,0.9
R2,PWRHYDNPLXX01,2059,0.9
R2,PWRHYDNPLXX01,2060,0.9
R2,PWRHYDNPLXX01,2061,0.9
R2,PWRHYDNPLXX01,2062,0.9
R2,PWRHYDNPLXX01,2063,0.9
R2,PWRHYDNPLXX01,2064,0.9
R2,PWRHYDNPLXX01,2065,0.9
R2,PWRHYDNPLXX01,2066,0.9
R2,PWRHYDNPLXX01,2067,0.9
R2,PWRHYDNPLXX01,2068,0.9
R2,PWRHYDNPLXX01,2069,0.9
R2,PWRHYDNPLXX01,2070,0.9
R2,PWRCSPNPLXX01,2020,0.9
R2,PWRCSPNPLXX01,2021,0.9
R2,PWRCSPNPLXX01,2022,0.9
R2,PWRCSPNPLXX01,2023,0.9
R2,PWRCSPNPLXX01,2024,0.9
R2,PWRCSPNPLXX01,2025,0.9
R2,PWRCSPNPLXX01,2026,0.9
R2,PWRCSPNPLXX01,2027,0.9
R2,PWRCSPNPLXX01,2028,0.9
R2,PWRCSPNPLXX01,2029,0.9
R2,PWRCSPNPLXX01,2030,0.9
R2,PWRCSPNPLXX01,2031,0.9
R2,PWRCSPNPLXX01,2032,0.9
R2,PWRCSPNPLXX01,2033,0.9
R2,PWRCSPNPLXX01,2034,0.9
R2,PWRCSPNPLXX01,2035,0.9
R2,PWRCSPNPLXX01,2036,0.9
R2,PWRCSPNPLXX01,2037,0.9
R2,PWRCSPNPLXX01,2038,0.9
R2,PWRCSPNPLXX01,2039,0.9
R2,PWRCSPNPLXX01,2040,0.9
R2,PWRCSPNPLXX01,2041,0.9
R2,PWRCSPNPLXX01,2042,0.9
R2,PWRCSPNPLXX01,2043,0.9
R2,PWRCSPNPLXX01,2044,0.9
R2,PWRCSPNPLXX01,2045,0.9
R2,PWRCSPNPLXX01,2046,0.9
R2,PWRCSPNPLXX01,2047,0.9
R2,PWRCSPNPLXX01,2048,0.9
R2,PWRCSPNPLXX01,2049,0.9
R2,PWRCSPNPLXX01,2050,0.9
R2,PWRCSPNPLXX01,2051,0.9
R2,PWRCSPNPLXX01,2052,0.9
R2,PWRCSPNPLXX01,2053,0.9
R2,PWRCSPNPLXX01,2054,0.9
R2,PWRCSPNPLXX01,2055,0.9
R2,PWRCSPNPLXX01,2056,0.9
R2,PWRCSPNPLXX01,2057,0.9
R2,PWRCSPNPLXX01,2058,0.9
R2,PWRCSPNPLXX01,2059,0.9
R2,PWRCSPNPLXX01,2060,0.9
R2,PWRCSPNPLXX01,2061,0.9
R2,PWRCSPNPLXX01,2062,0.9
R2,PWRCSPNPLXX01,2063,0.9
R2,PWRCSPNPLXX01,2064,0.9
R2,PWRCSPNPLXX01,2065,0.9
R2,PWRCSPNPLXX01,2066,0.9
R2,PWRCSPNPLXX01,2067,0.9
R2,PWRCSPNPLXX01,2068,0.9
R2,PWRCSPNPLXX01,2069,0.9
R2,PWRCSPNPLXX01,2070,0.9
R2,PWRSPVNPLXX01,2020,0.9
R2,PWRSPVNPLXX01,2021,0.9
R2,PWRSPVNPLXX01,2022,0.9
R2,PWRSPVNPLXX01,2023,0.9
R2,PWRSPVNPLXX01,2024,0.9
R2,PWRSPVNPLXX01,2025,0.9
R2,PWRSPVNPLXX01,2026,0.9
R2,PWRSPVNPLXX01,2027,0.9
R2,PWRSPVNPLXX01,2028,0.9
R2,PWRSPVNPLXX01,2029,0.9
R2,PWRSPVNPLXX01,2030,0.9
R2,PWRSPVNPLXX01,2031,0.9
R2,PWRSPVNPLXX01,2032,0.9
R2,PWRSPVNPLXX01,2033,0.9
R2,PWRSPVNPLXX01,2034,0.9
R2,PWRSPVNPLXX01,2035,0.9
R2,PWRSPVNPLXX01,2036,0.9
R2,PWRSPVNPLXX01,2037,0.9
R2,PWRSPVNPLXX01,2038,0.9
R2,PWRSPVNPLXX01,2039,0.9
R2,PWRSPVNPLXX01,2040,0.9
R2,PWRSPVNPLXX01,2041,0.9
R2,PWRSPVNPLXX01,2042,0.9
R2,PWRSPVNPLXX01,2043,0.9
R2,PWRSPVNPLXX01,2044,0.9
R2,PWRSPVNPLXX01,2045,0.9
R2,PWRSPVNPLXX01,2046,0.9
R2,PWRSPVNPLXX01,2047,0.9
R2,PWRSPVNPLXX01,2048,0.9
R2,PWRSPVNPLXX01,2049,0.9
R2,PWRSPVNPLXX01,2050,0.9
R2,PWRSPVNPLXX01,2051,0.9
R2,PWRSPVNPLXX01,2052,0.9
R2,PWRSPVNPLXX01,2053,0.9
R2,PWRSPVNPLXX01,2054,0.9
