REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,2020,11.657171
GLOBAL,PWRCCGNPLXX01,2021,11.657171
GLOBAL,PWRCCGNPLXX01,2022,11.657171
GLOBAL,PWRCCGNPLXX01,2023,11.657171
GLOBAL,PWRCCGNPLXX01,2024,11.657171
GLOBAL,PWRCCGNPLXX01,2025,11.657171
GLOBAL,PWRCCGNPLXX01,2026,11.657171
GLOBAL,PWRCCGNPLXX01,2027,11.657171
GLOBAL,PWRCCGNPLXX01,2028,11.657171
GLOBAL,PWRCCGNPLXX01,2029,11.657171
GLOBAL,PWRCCGNPLXX01,2030,11.657171
GLOBAL,PWRCCGNPLXX01,2031,11.657171
GLOBAL,PWRCCGNPLXX01,2032,11.657171
GLOBAL,PWRCCGNPLXX01,2033,11.657171
GLOBAL,PWRCCGNPLXX01,2034,11.657171
GLOBAL,PWRCCGNPLXX01,2035,11.657171
GLOBAL,PWRCCGNPLXX01,2036,11.657171
GLOBAL,PWRCCGNPLXX01,2037,11.657171
GLOBAL,PWRCCGNPLXX01,2038,11.657171
GLOBAL,PWRCCGNPLXX01,2039,11.657171
GLOBAL,PWRCCGNPLXX01,2040,11.657171
GLOBAL,PWRCCGNPLXX01,2041,11.657171
GLOBAL,PWRCCGNPLXX01,2042,12.576553
GLOBAL,PWRCCGNPLXX01,2043,13.495935
GLOBAL,PWRCCGNPLXX01,2044,14.415317
GLOBAL,PWRCCGNPLXX01,2045,15.334699
GLOBAL,PWRCCGNPLXX01,2046,16.352666
GLOBAL,PWRCCGNPLXX01,2047,17.370739
GLOBAL,PWRCCGNPLXX01,2048,18.388706
GLOBAL,PWRCCGNPLXX01,2049,19.406778
GLOBAL,PWRCCGNPLXX01,2050,20.505214
GLOBAL,PWRCCGNPLXX01,2051,21.786498
GLOBAL,PWRCCGNPLXX01,2052,23.067781
GLOBAL,PWRCCGNPLXX01,2053,24.349065
GLOBAL,PWRCCGNPLXX01,2054,25.630454
GLOBAL,PWRCCGNPLXX01,2055,26.911737
GLOBAL,PWRCCGNPLXX01,2056,28.3321
GLOBAL,PWRCCGNPLXX01,2057,29.752568
GLOBAL,PWRCCGNPLXX01,2058,31.17293
GLOBAL,PWRCCGNPLXX01,2059,32.593398
GLOBAL,PWRCCGNPLXX01,2060,34.01376
GLOBAL,PWRCCGNPLXX01,2061,35.572565
GLOBAL,PWRCCGNPLXX01,2062,37.13137
GLOBAL,PWRCCGNPLXX01,2063,38.690174
GLOBAL,PWRCCGNPLXX01,2064,40.249085
GLOBAL,PWRCCGNPLXX01,2065,41.80789
GLOBAL,PWRCCGNPLXX01,2066,43.51383
GLOBAL,PWRCCGNPLXX01,2067,45.219769
GLOBAL,PWRCCGNPLXX01,2068,46.925709
GLOBAL,PWRCCGNPLXX01,2069,48.631755
GLOBAL,PWRCCGNPLXX01,2070,50.337695
GLOBAL,PWRCOANPLXX01,2020,33.666424
GLOBAL,PWRCOANPLXX01,2021,42.162688
GLOBAL,PWRCOANPLXX01,2022,50.658952
GLOBAL,PWRCOANPLXX01,2023,59.155215
GLOBAL,PWRCOANPLXX01,2024,67.651479
GLOBAL,PWRCOANPLXX01,2025,76.147743
GLOBAL,PWRCOANPLXX01,2026,86.137402
GLOBAL,PWRCOANPLXX01,2027,96.659091
GLOBAL,PWRCOANPLXX01,2028,108.53314
GLOBAL,PWRCOANPLXX01,2029,120.40738
GLOBAL,PWRCOANPLXX01,2030,132.4345
GLOBAL,PWRCOANPLXX01,2031,145.71542
GLOBAL,PWRCOANPLXX01,2032,159.14773
GLOBAL,PWRCOANPLXX01,2033,172.58003
GLOBAL,PWRCOANPLXX01,2034,186.01421
GLOBAL,PWRCOANPLXX01,2035,199.44651
GLOBAL,PWRCOANPLXX01,2036,214.43594
GLOBAL,PWRCOANPLXX01,2037,221.56876
GLOBAL,PWRCOANPLXX01,2038,235.67116
GLOBAL,PWRCOANPLXX01,2039,249.7718
GLOBAL,PWRCOANPLXX01,2040,263.71976
GLOBAL,PWRCOANPLXX01,2041,279.08411
GLOBAL,PWRCOANPLXX01,2042,292.69658
GLOBAL,PWRCOANPLXX01,2043,306.30905
GLOBAL,PWRCOANPLXX01,2044,319.92151
GLOBAL,PWRCOANPLXX01,2045,333.53398
GLOBAL,PWRCOANPLXX01,2046,348.6061
GLOBAL,PWRCOANPLXX01,2047,363.67979
GLOBAL,PWRCOANPLXX01,2048,378.75191
GLOBAL,PWRCOANPLXX01,2049,393.8256
GLOBAL,PWRCOANPLXX01,2050,408.89929
GLOBAL,PWRCOANPLXX01,2051,427.87011
GLOBAL,PWRCOANPLXX01,2052,446.84092
GLOBAL,PWRCOANPLXX01,2053,465.81174
GLOBAL,PWRCOANPLXX01,2054,484.78412
GLOBAL,PWRCOANPLXX01,2055,503.75494
GLOBAL,PWRCOANPLXX01,2056,524.78496
GLOBAL,PWRCOANPLXX01,2057,545.81656
GLOBAL,PWRCOANPLXX01,2058,566.84659
GLOBAL,PWRCOANPLXX01,2059,587.87819
GLOBAL,PWRCOANPLXX01,2060,608.90821
GLOBAL,PWRCOANPLXX01,2061,631.98804
GLOBAL,PWRCOANPLXX01,2062,655.06786
GLOBAL,PWRCOANPLXX01,2063,678.14768
GLOBAL,PWRCOANPLXX01,2064,701.22908
GLOBAL,PWRCOANPLXX01,2065,724.3089
GLOBAL,PWRCOANPLXX01,2066,749.56722
GLOBAL,PWRCOANPLXX01,2067,774.82554
GLOBAL,PWRCOANPLXX01,2068,800.08386
GLOBAL,PWRCOANPLXX01,2069,825.34375
GLOBAL,PWRCOANPLXX01,2070,850.60207
GLOBAL,PWRHYDNPLXX01,2020,37.6525
GLOBAL,PWRHYDNPLXX01,2021,37.6525
GLOBAL,PWRHYDNPLXX01,2022,37.6525
GLOBAL,PWRHYDNPLXX01,2023,37.6525
GLOBAL,PWRHYDNPLXX01,2024,37.6525
GLOBAL,PWRHYDNPLXX01,2025,37.6525
GLOBAL,PWRHYDNPLXX01,2026,37.6525
GLOBAL,PWRHYDNPLXX01,2027,37.6525
GLOBAL,PWRHYDNPLXX01,2028,37.6525
GLOBAL,PWRHYDNPLXX01,2029,37.6525
GLOBAL,PWRHYDNPLXX01,2030,37.6525
GLOBAL,PWRHYDNPLXX01,2031,37.6525
GLOBAL,PWRHYDNPLXX01,2032,37.6525
GLOBAL,PWRHYDNPLXX01,2033,37.6525
GLOBAL,PWRHYDNPLXX01,2034,37.6525
GLOBAL,PWRHYDNPLXX01,2035,37.6525
GLOBAL,PWRHYDNPLXX01,2036,37.6525
GLOBAL,PWRHYDNPLXX01,2037,37.6525
GLOBAL,PWRHYDNPLXX01,2038,37.6525
GLOBAL,PWRHYDNPLXX01,2039,37.6525
GLOBAL,PWRHYDNPLXX01,2040,37.6525
GLOBAL,PWRHYDNPLXX01,2041,37.6525
GLOBAL,PWRHYDNPLXX01,2042,37.6525
GLOBAL,PWRHYDNPLXX01,2043,37.6525
GLOBAL,PWRHYDNPLXX01,2044,37.6525
GLOBAL,PWRHYDNPLXX01,2045,37.6525
GLOBAL,PWRHYDNPLXX01,2046,37.6525
GLOBAL,PWRHYDNPLXX01,2047,37.6525
GLOBAL,PWRHYDNPLXX01,2048,37.6525
GLOBAL,PWRHYDNPLXX01,2049,37.6525
GLOBAL,PWRHYDNPLXX01,2050,37.6525
GLOBAL,PWRHYDNPLXX01,2051,37.6525
GLOBAL,PWRHYDNPLXX01,2052,37.6525
GLOBAL,PWRHYDNPLXX01,2053,37.6525
GLOBAL,PWRHYDNPLXX01,2054,37.6525
GLOBAL,PWRHYDNPLXX01,2055,37.6525
GLOBAL,PWRHYDNPLXX01,2056,37.6525
GLOBAL,PWRHYDNPLXX01,2057,37.6525
GLOBAL,PWRHYDNPLXX01,2058,37.6525
GLOBAL,PWRHYDNPLXX01,2059,37.6525
GLOBAL,PWRHYDNPLXX01,2060,37.6525
GLOBAL,PWRHYDNPLXX01,2061,37.6525
GLOBAL,PWRHYDNPLXX01,2062,37.6525
GLOBAL,PWRHYDNPLXX01,2063,37.6525
GLOBAL,PWRHYDNPLXX01,2064,37.6525
GLOBAL,PWRHYDNPLXX01,2065,37.6525
GLOBAL,PWRHYDNPLXX01,2066,37.6525
GLOBAL,PWRHYDNPLXX01,2067,37.6525
GLOBAL,PWRHYDNPLXX01,2068,37.6525
GLOBAL,PWRHYDNPLXX01,2069,37.6525
GLOBAL,PWRHYDNPLXX01,2070,37.6525
GLOBAL,PWROCGNPLXX01,2020,0.065055846
GLOBAL,PWROCGNPLXX01,2021,0.065055846
GLOBAL,PWROCGNPLXX01,2022,0.065055846
GLOBAL,PWROCGNPLXX01,2023,0.065055846
GLOBAL,PWROCGNPLXX01,2024,0.065055846
GLOBAL,PWROCGNPLXX01,2025,0.065055846
GLOBAL,PWROCGNPLXX01,2026,0.065055846
GLOBAL,PWROCGNPLXX01,2027,0.065055846
GLOBAL,PWROCGNPLXX01,2028,0.065055846
GLOBAL,PWROCGNPLXX01,2029,0.065055846
GLOBAL,PWROCGNPLXX01,2030,0.065055846
GLOBAL,PWROCGNPLXX01,2031,0.065055846
GLOBAL,PWROCGNPLXX01,2032,0.065055846
GLOBAL,PWROCGNPLXX01,2033,0.065055846
